,doc,token,pos,tag,nerLabel
0,0,i,NN,O,NEB
1,0,appreciate,VBP,O,Nothing
2,0,the,DT,O,Nothing
3,0,love,NN,O,NEB
4,0,for,IN,O,Nothing
5,0,hacking,VBG,O,Nothing
6,0,guys,NNS,O,NEB
7,0,but,CC,O,Nothing
8,0,let,VB,O,Nothing
9,0,us,PRP,B-ARG0,Nothing
10,0,not,RB,B-ARGM-NEG,Nothing
11,0,dos,VB,B-V,Nothing
12,0,our,PRP$,B-ARG1,Nothing
13,0,own,JJ,I-ARG1,Nothing
14,0,fun,NN,I-ARG1,NEB
15,0,stream,NN,I-ARG1,NEI
16,0,rip,NN,I-ARG1,NEI
17,0,techno,NN,I-ARG1,NEI
18,0,therapy,NN,I-ARG1,NEO
19,0,a,DT,B-ARG2,Nothing
20,0,above,IN,I-ARG2,Nothing
21,0,beyond,IN,I-ARG2,Nothing
22,1,i,JJ,O,Nothing
23,1,official,NN,O,NEB
24,1,is,VBZ,O,Nothing
25,1,such,JJ,O,Nothing
26,1,a,DT,O,Nothing
27,1,great,JJ,O,Nothing
28,1,hacker,NN,O,NEB
29,1,he,PRP,O,Nothing
30,1,made,VBD,O,Nothing
31,1,his,PRP$,B-ARG0,Nothing
32,1,viewers,NNS,I-ARG0,NEB
33,1,dos,VBP,B-V,Nothing
34,1,group,NN,B-ARG1,NEB
35,1,therapy,NN,I-ARG1,NEO
36,1,for,IN,B-ARG2,Nothing
37,1,him,PRP,I-ARG2,Nothing
38,2,cube,JJ,O,Nothing
39,2,security,NN,O,NEB
40,2,experts,NNS,O,NEI
41,2,point,NN,O,NEO
42,2,to,TO,O,Nothing
43,2,iran,VB,B-V,NEB
44,2,for,IN,O,Nothing
45,2,bit,NN,O,NEB
46,2,coin,JJ,O,NEB
47,2,ransom,NN,O,NEB
48,2,are,VBP,O,Nothing
49,3,domain,NN,O,NEI
50,3,auction,NN,O,NEI
51,3,domain,NN,O,NEI
52,3,name,JJ,O,NEO
53,3,start,VBP,O,Nothing
54,3,a,DT,O,Nothing
55,3,of,IN,O,Nothing
56,3,reserve,NN,O,NEB
57,3,price,NN,O,NEI
58,3,tea,NN,O,NEO
59,3,to,TO,O,Nothing
60,3,be,VB,O,Nothing
61,3,the,DT,O,Nothing
62,3,first,JJ,O,Nothing
63,3,person,NN,O,NEB
64,3,to,TO,O,Nothing
65,3,bid,VB,O,NEB
66,3,reply,VB,O,Nothing
67,3,on,IN,O,Nothing
68,3,twitter,NN,O,NEB
69,3,in,IN,O,Nothing
70,3,comments,NNS,O,NEB
71,3,with,IN,O,Nothing
72,3,huge,JJ,O,Nothing
73,3,leak,NN,O,NEB
74,3,a,DT,O,Nothing
75,3,of,IN,B-ARG1,Nothing
76,3,auction,NN,I-ARG1,NEI
77,3,ends,NNS,B-V,Nothing
78,3,ord,JJ,O,Nothing
79,3,september,NN,O,NEB
80,3,domain,NN,O,NEI
81,3,auction,NN,O,NEI
82,3,domains,NNS,O,NEO
83,4,depressed,JJ,O,Nothing
84,4,security,NN,O,NEI
85,4,researcher,NN,O,NEI
86,4,drops,NNS,O,NEO
87,4,serious,JJ,O,Nothing
88,4,day,NN,O,NEB
89,4,for,IN,O,Nothing
90,4,fully,RB,O,Nothing
91,4,patched,VBN,O,Nothing
92,4,windows,NNS,O,NEB
93,4,exploit,VBP,O,NEB
94,4,on,IN,O,Nothing
95,4,twitter,NN,O,NEB
96,4,with,IN,O,Nothing
97,4,proof,NN,O,NEB
98,4,concept,NN,O,NEI
99,4,code,NN,O,NEI
100,4,cert,NN,O,NEO
101,4,verified,VBD,B-V,Nothing
102,4,the,DT,B-ARG1,Nothing
103,4,exploit,JJ,I-ARG1,NEB
104,4,code,NN,I-ARG1,NEI
105,4,as,IN,B-ARGM-PRD,Nothing
106,4,local,JJ,I-ARGM-PRD,NEB
107,4,privilege,NN,I-ARGM-PRD,NEI
108,4,escalation,NN,I-ARGM-PRD,NEO
109,5,an,DT,O,Nothing
110,5,infinite,JJ,O,NEB
111,5,loop,NN,O,NEI
112,5,vulnerability,NN,O,NEB
113,5,was,VBD,O,Nothing
114,5,found,VBN,O,Nothing
115,5,in,IN,O,Nothing
116,5,list,JJ,O,Nothing
117,5,pc,NN,O,NEB
118,5,before,IN,O,Nothing
119,5,version,NN,O,NEB
120,5,a,DT,O,Nothing
121,5,a,DT,O,Nothing
122,5,a,DT,O,Nothing
